,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
154,209,21.0,Bozeman,59717,35.27972027972028,33920.86713286713,MT,207,3.4,2.3,23042,2.2,Montana State University,public,Montana State University,1,7,0.8311,14383.0,0.8456,0.0047,0.0416,0.0096,0.0136,0.0011,0.0431,0.0276,0.0131,0.1448,19980.0,7079.0,24071.0,10272.0,7962.0,8705.0,0.6134,17754.0,913.0,1195.0
155,210,19.0,Fairbanks,99775,35.27972027972028,33920.86713286713,AK,207,3.3,2.2,23534,2.1,University of Alaska--Fairbanks,public,University of Alaska Fairbanks,1,8,0.767,4910.0,0.4945,0.0277,0.0727,0.0196,0.1403,0.0049,0.0786,0.0112,0.1505,0.4029,17168.0,6262.0,19183.0,7960.0,16643.0,9617.0,0.6036,9988.0,232.0,1094.0
157,212,20.0,North Dartmouth,2747,35.27972027972028,33920.86713286713,MA,207,3.2,2.6,28285,2.2,University of Massachusetts--Dartmouth,public,University of Massachusetts-Dartmouth,1,1,0.8427,6559.0,0.6105,0.1569,0.0979,0.0364,0.0018,0.0,0.0367,0.0213,0.0384,0.1229,26536.0,13571.0,28285.0,10143.0,12425.0,10844.0,0.6856,18899.0,1014.0,1097.0
158,213,20.0,Missoula,59812,35.27972027972028,33920.86713286713,MT,207,3.3,2.6,24943,2.806829268292683,University of Montana,public,The University of Montana,2,7,0.9264,8958.0,0.787,0.0109,0.0471,0.0119,0.033,0.0023,0.045,0.0148,0.0478,0.1749,18490.0,7063.0,24943.0,8309.0,9899.0,7608.0,0.7253,15006.0,687.0,1165.0
159,214,19.0,Kalamazoo,49008,35.27972027972028,33920.86713286713,MI,207,3.3,2.5,14699,2.806829268292683,Western Michigan University,public,Western Michigan University,1,3,0.8232,17704.0,0.7062,0.123,0.0612,0.0182,0.0043,0.001,0.0374,0.0418,0.0069,0.1519,24357.0,11943.0,14699.0,12351.0,11914.0,9751.0,0.6262,17259.0,1850.0,1103.0
160,215,23.0,Miami,33199,35.27972027972028,33920.86713286713,FL,216,3.9,2.6,18956,2.1,Florida International University,public,Florida International University,1,5,0.5407,41834.0,0.0883,0.1224,0.6696,0.0241,0.0007,0.0008,0.0271,0.0627,0.0043,0.3735,19055.0,6556.0,18954.0,6406.0,7565.0,10225.0,0.9829,12503.0,3231.0,1172.0
161,216,21.0,Ruston,71272,35.27972027972028,33920.86713286713,LA,216,3.7,2.3,18438,2.2,Louisiana Tech University,public,Louisiana Tech University,1,5,0.6484,8067.0,0.7077,0.1294,0.0379,0.013,0.004,0.0006,0.0289,0.0193,0.0591,0.0604,19225.0,9645.0,18558.0,7570.0,5576.0,7277.0,0.8134,10774.0,1028.0,1195.0
162,217,20.0,Brookings,57007,35.27972027972028,33920.86713286713,SD,216,3.4,2.8343347639484984,11403,2.806829268292683,South Dakota State University,public,South Dakota State University,1,4,0.9137,9704.0,0.87,0.0199,0.0237,0.0092,0.0089,0.0004,0.0224,0.0434,0.0023,0.1335,22410.0,8441.0,11689.0,8479.0,8731.0,8135.0,0.8075,19415.0,801.0,1144.0
164,219,25.0,Huntsville,35899,35.27972027972028,33920.86713286713,AL,216,3.8,2.5,21480,2.4,University of Alabama--Huntsville,public,University of Alabama in Huntsville,1,5,0.8123,6917.0,0.7415,0.1073,0.0463,0.0402,0.011,0.001,0.0259,0.024,0.0029,0.1496,22108.0,10280.0,21480.0,8727.0,9748.0,9391.0,0.6457,19986.0,485.0,1322.0
165,220,21.0,Kansas City,64110,35.27972027972028,33920.86713286713,MO,216,3.4,2.6,25999,2.806829268292683,University of Missouri--Kansas City,public,University of Missouri-Kansas City,1,4,0.6415,7854.0,0.5656,0.1367,0.0975,0.0802,0.0022,0.0013,0.0371,0.0512,0.0283,0.1513,21120.0,8011.0,19793.0,11706.0,13714.0,8855.0,0.6272,14897.0,721.0,1197.0
166,221,20.0,Logan,84322,35.27972027972028,33920.86713286713,UT,216,3.5,2.5,20726,2.4,Utah State University,public,Utah State University,1,7,0.8908,21473.0,0.8195,0.0086,0.0594,0.0107,0.0189,0.0036,0.0227,0.0105,0.0462,0.2064,17671.0,7870.0,21520.0,6286.0,9489.0,9058.0,0.9583,13279.0,1333.0,1177.0
167,222,20.0,Ashland,44805,35.27972027972028,33920.86713286713,OH,223,3.4,2.8343347639484984,20700,2.806829268292683,Ashland University,private,Ashland University,1,3,0.7351,3660.0,0.7716,0.1331,0.0224,0.0085,0.0049,0.0019,0.0183,0.018,0.0213,0.118,32500.0,20700.0,20700.0,14350.0,8091.0,6933.0,0.372,20221.0,539.0,1121.0
168,223,20.0,Lisle,60532,35.27972027972028,33920.86713286713,IL,223,3.4,2.8343347639484984,33900,2.806829268292683,Benedictine University,private,Benedictine University,1,3,0.6217,2864.0,0.4392,0.0821,0.1697,0.1512,0.0056,0.0031,0.0,0.0077,0.1414,0.1393,42641.0,33900.0,33900.0,15350.0,6919.0,8210.0,0.2576,23827.0,448.0,1093.0
169,224,16.0,Fresno,93740,35.27972027972028,33920.86713286713,CA,223,3.5,2.3,17929,2.7,California State University--Fresno,public,California State University-Fresno,1,8,0.5941,21877.0,0.1814,0.029,0.5168,0.1364,0.0038,0.0018,0.0282,0.0602,0.0423,0.1127,16205.0,6585.0,18465.0,3860.0,7031.0,9208.0,0.5268,5872.0,2349.0,1004.0
170,225,18.0,Boiling Springs,28017,35.27972027972028,33920.86713286713,NC,223,3.7,2.8343347639484984,30740,2.806829268292683,Gardner-Webb University,private,Gardner-Webb University,1,5,0.527,2210.0,0.6729,0.1407,0.038,0.0131,0.0054,0.0014,0.0136,0.0009,0.114,0.1941,42768.0,30700.0,30700.0,12981.0,8982.0,6884.0,0.9749,21154.0,332.0,1102.0
172,227,19.0,Winchester,22601,35.27972027972028,33920.86713286713,VA,223,3.4,2.0,31920,2.806829268292683,Shenandoah University,private,Shenandoah University,1,5,0.8325,2055.0,0.5723,0.11,0.0652,0.0282,0.0073,0.0024,0.0219,0.0277,0.165,0.0311,45388.0,31920.0,31920.0,17830.0,10110.0,7815.0,0.559,29280.0,378.0,1115.0
173,228,19.0,Vermillion,57069,35.27972027972028,33920.86713286713,SD,223,3.0,2.4,11688,2.806829268292683,University of South Dakota,public,University of South Dakota,1,4,0.8691,6171.0,0.8378,0.031,0.0387,0.0141,0.0175,0.0006,0.0344,0.0214,0.0045,0.2092,21239.0,8772.0,12019.0,8302.0,10182.0,7763.0,0.7184,17359.0,528.0,1125.0
174,229,20.0,Detroit,48202,35.27972027972028,33920.86713286713,MI,223,3.4,2.4,28590,2.2,Wayne State University,public,Wayne State University,1,3,0.6741,16768.0,0.5858,0.168,0.0516,0.0951,0.0023,0.0008,0.0383,0.0233,0.0348,0.2637,22771.0,12729.0,27203.0,11150.0,12570.0,10403.0,0.5716,12970.0,1528.0,1134.0
