,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
83,223,20.0,Lisle,60532,35.27972027972028,33920.86713286713,IL,223,3.4,2.8343347639484984,33900,2.806829268292683,Benedictine University,private,Benedictine University,1,3,0.6217,2864.0,0.4392,0.0821,0.1697,0.1512,0.0056,0.0031,0.0,0.0077,0.1414,0.1393,42641.0,33900.0,33900.0,15350.0,6919.0,8210.0,0.2576,23827.0,448.0,1093.0
88,230,16.0,Springfield,1109,35.27972027972028,33920.86713286713,MA,-1,3.5465020576131687,2.8343347639484984,33140,2.806829268292683,American International College,private,American International College,1,1,0.7183,1336.0,0.375,0.2455,0.1969,0.0127,0.0052,0.0045,0.0277,0.0307,0.1018,0.0614,47630.0,34470.0,34470.0,14553.0,6536.0,6262.0,0.1738,22429.0,292.0,997.0
92,238,20.0,Johnson City,37614,35.27972027972028,33920.86713286713,TN,-1,3.5,2.1,26463,2.806829268292683,East Tennessee State University,public,East Tennessee State University,1,5,0.8547,10881.0,0.8143,0.0687,0.0269,0.0132,0.0023,0.0011,0.0291,0.0332,0.0111,0.1171,21904.0,8679.0,26463.0,8636.0,12381.0,7201.0,0.6163,14218.0,1147.0,1122.0
97,243,23.02405498281787,Indiana,15705,35.27972027972028,33920.86713286713,PA,-1,3.5465020576131687,2.1,15882,2.806829268292683,Indiana University of Pennsylvania,public,Indiana University of Pennsylvania-Main Campus,1,2,0.9082,9965.0,0.7378,0.1242,0.0446,0.0102,0.0005,0.0003,0.0446,0.0293,0.0085,0.0495,26075.0,12119.0,17271.0,9479.0,10659.0,9704.0,0.7715,20761.0,1863.0,1016.0
100,246,18.0,Beaumont,77710,35.27972027972028,33920.86713286713,TX,-1,3.2,2.0,22561,2.806829268292683,Lamar University,public,Lamar University,1,6,0.8165,8928.0,0.4596,0.2653,0.1679,0.0464,0.0055,0.0013,0.0242,0.0124,0.0174,0.3328,19367.0,8314.0,18274.0,6741.0,5402.0,8283.0,0.7705,12941.0,974.0,1045.0
101,247,21.0,Lynchburg,24502,35.27972027972028,33920.86713286713,VA,-1,3.5,2.8343347639484984,24304,2.2,Liberty University,private,Liberty University,1,5,0.2979,45364.0,0.4994,0.1088,0.0517,0.0121,0.0048,0.0015,0.0214,0.0148,0.2856,0.4079,37388.0,21310.0,21310.0,11353.0,2832.0,5682.0,0.4614,27573.0,2182.0,1157.0
108,254,19.0,DeKalb,60115,35.27972027972028,33920.86713286713,IL,-1,3.3,2.6,23817,2.7,Northern Illinois University,public,Northern Illinois University,1,3,0.5332,13430.0,0.5479,0.1578,0.1772,0.0538,0.0013,0.001,0.0366,0.0208,0.0036,0.1224,28557.0,14350.0,23816.0,7816.0,14104.0,8218.0,0.7511,19823.0,1359.0,1085.0
109,255,20.0,Rochester,48309,35.27972027972028,33920.86713286713,MI,-1,3.4,2.0,24735,2.806829268292683,Oakland University,public,Oakland University,1,3,0.8441,15562.0,0.752,0.0713,0.0363,0.0483,0.0031,0.0009,0.0299,0.0215,0.0367,0.196,21262.0,11970.0,23873.0,11769.0,7908.0,9220.0,0.5064,12779.0,1566.0,1141.0
110,257,19.0,Portland,97207,35.27972027972028,33920.86713286713,OR,-1,3.4,2.5,21180,2.2,Portland State University,public,Portland State University,1,8,0.9244,18585.0,0.5493,0.0361,0.1438,0.0927,0.0124,0.0068,0.0676,0.0538,0.0375,0.2661,20322.0,8783.0,26130.0,9208.0,9389.0,9173.0,0.5696,14160.0,686.0,1105.0
112,259,19.0,Virginia Beach,23464,35.27972027972028,33920.86713286713,VA,-1,3.5,2.8343347639484984,17450,2.806829268292683,Regent University,private,Regent University,1,5,0.783,4087.0,0.5402,0.2843,0.0861,0.0152,0.0049,0.0037,0.0509,0.0054,0.0093,0.4465,27995.0,17288.0,17288.0,12361.0,4269.0,7953.0,0.7462,17842.0,200.0,1081.0
125,273,19.0,Akron,44325,35.27972027972028,33920.86713286713,OH,-1,3.3,2.3,21863,2.1,University of Akron,public,University of Akron Main Campus,2,3,0.9255,15047.0,0.7331,0.1235,0.0274,0.0274,0.0014,0.0004,0.0455,0.022,0.0193,0.1275,24128.0,10270.0,18801.0,9845.0,10572.0,9571.0,0.5319,17951.0,1863.0,1125.0
129,277,17.0,Princess Anne,21853,35.27972027972028,33920.86713286713,MD,-1,2.9,2.0,18048,2.4,University of Maryland--Eastern Shore,public,University of Maryland Eastern Shore,1,2,0.3901,2799.0,0.0975,0.7621,0.0389,0.0104,0.0025,0.0007,0.055,0.03,0.0029,0.0807,22192.0,8042.0,18048.0,4214.0,12436.0,8235.0,0.6935,15860.0,479.0,950.0
138,288,20.0,Arlington,76019,35.27972027972028,33920.86713286713,TX,-1,3.5465020576131687,2.7,25152,2.4,University of Texas--Arlington,public,The University of Texas at Arlington,1,6,0.7122,32955.0,0.3626,0.1482,0.2748,0.1132,0.0028,0.0016,0.0358,0.0409,0.02,0.4604,21154.0,9952.0,25152.0,7432.0,5326.0,9371.0,1.0,13200.0,1708.0,1163.0
142,292,19.0,Williamsburg,40769,35.27972027972028,33920.86713286713,KY,-1,3.5,2.8343347639484984,23000,2.806829268292683,University of the Cumberlands,private,University of the Cumberlands,1,5,0.7436,2085.0,0.5204,0.0297,0.0144,0.0043,0.0029,0.0005,0.0101,0.0336,0.3842,0.1338,37529.0,23000.0,23000.0,8018.0,3339.0,5136.0,0.4649,19509.0,349.0,1092.0
143,293,20.0,Toledo,43606,35.27972027972028,33920.86713286713,OH,-1,3.4,2.3,18578,2.1,University of Toledo,public,University of Toledo,1,3,0.9435,15109.0,0.6839,0.1117,0.0516,0.0216,0.0015,0.0006,0.033,0.0635,0.0328,0.1448,23471.0,9547.0,18885.0,10646.0,13027.0,8707.0,0.7079,15095.0,1971.0,1142.0
149,299,18.0,Dayton,45435,35.27972027972028,33920.86713286713,OH,-1,3.3,2.3,17350,2.2,Wright State University,public,Wright State University-Main Campus,2,3,0.9677,11251.0,0.7453,0.1106,0.0356,0.0261,0.0014,0.001,0.043,0.0319,0.0051,0.1715,21261.0,8730.0,17098.0,9612.0,10860.0,9173.0,0.994,16249.0,1586.0,1107.0
