act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
28.0,Binghamton,13902,54.0,29356.0,NY,87,3.7,2.7,24403,2.3,Binghamton University--SUNY,public,Binghamton University,1,2,0.4036,13702.0,0.5744,0.0521,0.1125,0.1398,0.0007,0.0007,0.0214,0.0823,0.0162,0.0262,24725.0,9523.0,24403.0,8520.0,12671.0,9258.0,0.7066,18378.0,1289.0,1365.0
26.0,Denver,80208,40.0,31393.0,CO,87,3.7,2.9,48669,2.0,University of Denver,private,University of Denver,1,7,0.5805,5753.0,0.6869,0.0203,0.1093,0.0421,0.0021,0.0007,0.0422,0.0749,0.0214,0.0464,61824.0,48669.0,48669.0,27214.0,15302.0,10704.0,0.5815,32174.0,610.0,1294.0
26.0,Tulsa,74104,15.0,49957.0,OK,87,3.9,2.5,39502,2.2,University of Tulsa,private,University of Tulsa,1,6,0.3895,3316.0,0.5676,0.0531,0.0642,0.0522,0.0259,0.0012,0.0271,0.1924,0.0163,0.0362,56173.0,41509.0,41509.0,20400.0,15648.0,10669.0,0.773,23948.0,327.0,1335.0
24.0,Bloomington,47405,16.0,37563.0,IN,90,3.7,4.1,34845,,Indiana University--Bloomington,public,Indiana University-Bloomington,1,3,0.7601,33104.0,0.696,0.0447,0.0601,0.052,0.001,0.0002,0.0395,0.1039,0.0026,0.0299,24739.0,10533.0,34845.0,17398.0,14714.0,10390.0,0.8671,14351.0,2545.0,1285.0
24.0,Milwaukee,53201,55.0,32894.0,WI,90,,2.9,39900,2.4,Marquette University,private,Marquette University,1,3,0.8933,8093.0,0.6988,0.0389,0.1233,0.0678,0.0014,0.0005,0.0363,0.0303,0.0027,0.0163,52916.0,39900.0,39900.0,22584.0,11036.0,9923.0,0.5689,29120.0,1086.0,1262.0
25.0,Boulder,80309,12.0,41125.0,CO,90,3.7,3.5,35079,3.5,University of Colorado--Boulder,public,University of Colorado Boulder,1,7,0.7984,28565.0,0.6745,0.0166,0.1179,0.0564,0.0021,0.0007,0.0537,0.072,0.0062,0.0588,29215.0,12086.0,36220.0,19631.0,17025.0,11316.0,0.6951,20706.0,1625.0,1293.0
26.0,San Diego,92110,48.0,36861.0,CA,90,3.9,2.8,47708,3.5,University of San Diego,private,University of San Diego,1,8,0.4979,5677.0,0.5186,0.0363,0.1985,0.075,0.0026,0.0035,0.0588,0.0835,0.0231,0.0243,62710.0,47708.0,47708.0,29280.0,15507.0,12291.0,0.5362,34752.0,494.0,1302.0
25.0,Philadelphia,19104,54.0,42176.0,PA,94,3.7,2.8,52002,3.0,Drexel University,private,Drexel University,1,2,0.7904,15335.0,0.5221,0.0732,0.0639,0.1617,0.0012,0.0038,0.0361,0.1152,0.0227,0.1162,69462.0,52002.0,52002.0,27523.0,16047.0,11028.0,0.5519,37427.0,1577.0,1269.0
24.0,St. Louis,63103,51.0,28328.0,MO,94,3.9,2.9,42166,2.2,Saint Louis University,private,Saint Louis University,1,4,0.6443,7209.0,0.6937,0.0565,0.0569,0.1033,0.0019,0.0004,0.0284,0.0506,0.0082,0.0839,55055.0,42166.0,42166.0,20686.0,19514.0,10093.0,0.6411,27341.0,888.0,1319.0
23.0,New York,10033,46.0,34756.0,NY,94,3.5,2.3,42000,,Yeshiva University,private,Yeshiva University,1,2,0.6282,2703.0,0.9393,0.0,0.0022,0.0,0.0004,0.0,0.0007,0.0522,0.0052,0.0211,58845.0,42000.0,42000.0,17638.0,17238.0,12238.0,0.4971,36306.0,208.0,1272.0
