,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
17,32.0,Notre Dame,46556,47.0,29653.0,IN,18,3.5465020576131687,4.1,51505,3.3,University of Notre Dame,private,University of Notre Dame,2,3,0.1892,8527.0,0.6891,0.0386,0.1053,0.0496,0.0015,0.0006,0.0478,0.0618,0.0056,0.0021,67043.0,51505.0,51505.0,24175.0,29029.0,14001.0,0.8961,28768.0,762.0,1486.0
18,32.0,St. Louis,63130,41.0,29245.0,MO,18,3.5465020576131687,4.0,51533,3.3,Washington University in St. Louis,private,Washington University in St Louis,1,4,0.1596,7253.0,0.5243,0.0775,0.0864,0.1732,0.0006,0.0001,0.0478,0.0735,0.0165,0.032,69754.0,51533.0,51533.0,25799.0,118824.0,14653.0,0.6718,28540.0,619.0,1508.0
19,30.0,Washington,20057,34.0,29667.0,DC,20,3.5465020576131687,3.8,52300,2.806829268292683,Georgetown University,private,Georgetown University,1,2,0.1568,7128.0,0.5438,0.0644,0.1045,0.0953,0.0,0.001,0.0457,0.1258,0.0195,0.025,69313.0,52300.0,52300.0,37238.0,30793.0,15200.0,0.4835,30107.0,599.0,1451.0
20,30.0,Atlanta,30322,42.0,24264.0,GA,21,3.7,3.8,49392,2.806829268292683,Emory University,private,Emory University,2,5,0.2204,6776.0,0.4109,0.0816,0.094,0.1961,0.0013,0.0004,0.037,0.1615,0.0171,0.0091,65080.0,49392.0,49392.0,26725.0,47872.0,13945.0,0.7713,26760.0,550.0,1443.0
22,25.0,Los Angeles,90095,15.0,42896.0,CA,21,3.9,2.8343347639484984,41270,3.8,University of California--Los Angeles,public,University of California-Los Angeles,1,8,0.161,30994.0,0.2671,0.0342,0.2221,0.281,0.0018,0.0028,0.052,0.1173,0.0217,0.0176,33751.0,13261.0,41275.0,18313.0,49371.0,17908.0,0.7086,14309.0,2725.0,1387.0
23,30.0,Los Angeles,90089,33.0,33112.0,CA,21,3.7,4.1,54259,3.6,University of Southern California,private,University of Southern California,1,8,0.1595,18942.0,0.3971,0.0462,0.1447,0.2052,0.0014,0.0024,0.0566,0.1332,0.0133,0.0252,69547.0,54259.0,54259.0,34888.0,48382.0,14389.0,0.6048,30232.0,1126.0,1437.0
24,31.0,Pittsburgh,15213,40.0,33550.0,PA,25,3.8,4.2,53910,4.3,Carnegie Mellon University,private,Carnegie Mellon University,1,2,0.222,6434.0,0.2779,0.0437,0.0898,0.3087,0.0005,0.0003,0.0424,0.1826,0.0541,0.0216,67980.0,53910.0,53910.0,39806.0,32874.0,11852.0,0.9487,31102.0,695.0,1506.0
25,29.0,Charlottesville,22904,28.0,28079.0,VA,25,4.0,4.2,46975,3.4,University of Virginia,public,University of Virginia-Main Campus,1,5,0.2735,16207.0,0.5816,0.0665,0.0666,0.1393,0.001,0.0006,0.0442,0.0414,0.0588,0.0315,31186.0,16853.0,47273.0,21020.0,19941.0,13819.0,0.9423,20857.0,829.0,1415.0
26,28.0,Winston-Salem,27109,30.0,24241.0,NC,27,3.5465020576131687,3.4,51400,2.806829268292683,Wake Forest University,private,Wake Forest University,1,5,0.2757,5101.0,0.6955,0.0674,0.0684,0.04,0.0014,0.0004,0.0286,0.0968,0.0014,0.0108,66440.0,51400.0,51400.0,32036.0,28205.0,11795.0,0.7714,33382.0,397.0,1240.0
27,29.0,Ann Arbor,48109,25.0,32856.0,MI,28,3.8,4.5,47476,4.4,University of Michigan--Ann Arbor,public,University of Michigan-Ann Arbor,1,3,0.265,29550.0,0.6051,0.0426,0.0573,0.1398,0.0015,0.0005,0.0406,0.0678,0.0448,0.0349,28652.0,14826.0,47476.0,23581.0,25620.0,11258.0,0.8275,14860.0,1606.0,1436.0
28,31.0,Medford,2155,34.0,27034.0,MA,29,3.5465020576131687,2.8343347639484984,54318,3.0,Tufts University,private,Tufts University,1,1,0.1491,5492.0,0.5657,0.0404,0.0679,0.1191,0.0,0.0,0.0493,0.102,0.0555,0.0055,68051.0,54318.0,54318.0,32313.0,22061.0,12131.0,0.6345,32620.0,464.0,1482.0
30,27.0,Chapel Hill,27599,41.0,17815.0,NC,30,4.0,4.2,34588,2.806829268292683,University of North Carolina--Chapel Hill,public,University of North Carolina at Chapel Hill,1,5,0.244,18658.0,0.6217,0.0795,0.0783,0.1068,0.0044,0.0005,0.0448,0.0269,0.037,0.0205,24872.0,9005.0,34588.0,14775.0,27735.0,12555.0,0.7726,14163.0,1572.0,1393.0
31,30.0,Chestnut Hill,2467,35.0,30170.0,MA,32,3.5465020576131687,3.6,53346,2.806829268292683,Boston College,private,Boston College,1,1,0.3241,9636.0,0.6107,0.0395,0.1044,0.0962,0.0002,0.0002,0.0324,0.0689,0.0474,0.0115,68039.0,53346.0,53346.0,33677.0,23796.0,14977.0,0.5929,34550.0,968.0,1434.0
33,29.0,Waltham,2454,47.0,29288.0,MA,34,3.9,2.9,53582,2.806829268292683,Brandeis University,private,Brandeis University,1,1,0.3422,3624.0,0.4732,0.0533,0.0742,0.1319,0.0008,0.0017,0.0306,0.21,0.0243,0.0011,68206.0,53537.0,53537.0,23516.0,19277.0,12774.0,0.6667,31308.0,421.0,1403.0
35,29.0,Rochester,14627,51.0,28476.0,NY,34,3.5465020576131687,2.8343347639484984,52020,2.7,University of Rochester,private,University of Rochester,1,2,0.3421,6320.0,0.4472,0.0487,0.0717,0.109,0.0011,0.0008,0.0282,0.2403,0.053,0.0147,67722.0,52020.0,52020.0,22633.0,31359.0,12675.0,0.9334,30480.0,665.0,1410.0
36,28.0,Boston,2215,36.0,34539.0,MA,37,3.6,3.4,52082,3.1,Boston University,private,Boston University,1,1,0.2511,16716.0,0.397,0.0408,0.1154,0.1488,0.0005,0.0012,0.038,0.2172,0.0411,0.0219,67879.0,52082.0,52082.0,31947.0,30039.0,13657.0,0.6869,37065.0,1514.0,1401.0
37,30.0,Cleveland,44106,48.0,35248.0,OH,37,3.5465020576131687,3.5,47500,3.3,Case Western Reserve University,private,Case Western Reserve University,1,3,0.3312,5020.0,0.4875,0.0434,0.0651,0.2062,0.0008,0.001,0.047,0.1335,0.0155,0.0108,63216.0,47500.0,47500.0,25887.0,29979.0,11400.0,0.7824,35316.0,806.0,1441.0
40,29.0,New Orleans,70118,31.0,35111.0,LA,40,3.5,3.2,52960,2.4,Tulane University,private,Tulane University of Louisiana,1,5,0.215,7871.0,0.6967,0.079,0.0722,0.0443,0.0023,0.0017,0.038,0.049,0.0168,0.1467,66896.0,52960.0,52960.0,27357.0,25525.0,11440.0,0.6504,34238.0,641.0,1442.0
